City_ID,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temperature,Wind Speed
87,albany,US,1528903860,42.65,-73.75,90,68,69.8,3.36
88,barrow,AR,1528905182,-38.31,-60.23,88,72,50.26,8.21
89,qorveh,IR,1528905357,35.17,47.8,92,22,76.72,3.18
90,san jeronimo,PE,1528902000,-13.65,-73.37,90,81,46.4,2.39
91,mataura,NZ,1528905299,-46.19,168.86,24,79,25.69,3.18
92,buala,SB,1528905359,-8.15,159.59,64,100,78.7,4.18
93,eyl,SO,1528905359,7.98,49.82,20,57,86.62,22.41
94,abu dhabi,AE,1528902000,24.47,54.37,0,29,98.6,16.11
95,tahe,CN,1528905359,52.34,124.71,92,98,51.43,2.17
96,chuy,UY,1528905099,-33.69,-53.46,80,93,52.87,28.9
97,dzerzhinskoye,RU,1528905360,56.84,95.22,8,69,65.11,3.85
98,vanavara,RU,1528905360,60.35,102.28,0,50,64.21,5.64
99,muros,ES,1528903800,42.77,-9.06,40,72,66.2,10.29
100,auchel,FR,1528903800,50.51,2.47,0,49,68,3.36
101,bubaque,GW,1528902000,11.28,-15.83,40,55,91.4,11.41
102,khatanga,RU,1528905361,71.98,102.47,8,65,60.97,4.63
103,los banos,US,1528904100,37.06,-120.85,1,67,75.2,4.74
104,labuhan,ID,1528905361,-2.54,115.51,12,95,72.94,1.83
105,saint-paul,FR,1528903800,45.22,1.9,75,56,68,14.99
106,petatlan,MX,1528901220,17.52,-101.27,90,74,84.2,1.83
107,baykit,RU,1528905366,61.68,96.39,36,68,63.94,4.29
108,dalby,AU,1528902000,-27.18,151.26,75,93,53.6,2.24
109,yellowknife,CA,1528902540,62.45,-114.38,90,93,46.4,8.05
110,hilo,US,1528901580,19.71,-155.08,75,88,66.2,5.82
111,turukhansk,RU,1528905297,65.8,87.96,36,76,66.37,6.42
112,dingle,PH,1528905368,11,122.67,68,82,79.96,8.21
113,dillon,US,1528901580,45.22,-112.64,1,44,57.2,5.82
114,labytnangi,RU,1528905370,66.66,66.39,64,75,47.11,17.49
115,gigmoto,PH,1528905370,13.78,124.39,36,98,83.56,17.6
116,nouakchott,MR,1528905371,18.08,-15.98,68,76,76.72,1.39
117,rumoi,JP,1528905371,43.93,141.67,92,100,44.41,8.1
118,dikson,RU,1528905373,73.51,80.55,32,100,31.09,13.13
119,chinsali,ZM,1528905377,-10.55,32.07,0,36,73.39,9.22
120,georgetown,GY,1528902000,6.8,-58.16,75,78,82.4,9.17
121,tooele,US,1528902900,40.53,-112.3,1,35,73.4,9.17
122,nikolskoye,RU,1528902000,59.7,30.79,40,41,60.8,4.47
123,bodo,CI,1528905379,5.91,-4.68,80,66,87.7,8.21
124,minador do negrao,BR,1528905379,-9.31,-36.86,32,80,76.81,13.24
125,sambava,MG,1528905379,-14.27,50.17,88,100,77.35,19.73
126,yerbogachen,RU,1528905380,61.28,108.01,0,44,64.93,7.43
127,kahului,US,1528901760,20.89,-156.47,1,93,66.2,3.36
128,clyde river,CA,1528902660,70.47,-68.59,75,100,35.6,21.92
129,ancud,CL,1528905381,-41.87,-73.83,20,90,39.1,2.73
130,beringovskiy,RU,1528905381,63.05,179.32,0,88,39.37,3.4
131,majene,ID,1528905382,-3.54,118.97,32,100,81.85,11.01
132,ahar,IR,1528905382,38.48,47.07,36,62,62.77,3.74
133,ilhabela,BR,1528905382,-23.78,-45.36,80,98,72.85,2.28
134,listvyagi,RU,1528905382,53.68,86.95,0,78,65.11,2.06
135,skjervoy,NO,1528903200,70.03,20.97,40,65,44.6,10.29
136,cape town,ZA,1528902000,-33.93,18.42,0,35,73.4,9.17
137,iqaluit,CA,1528902000,63.75,-68.52,90,96,35.6,20.8
138,fort-shevchenko,KZ,1528905387,44.51,50.26,0,59,74.2,3.62
139,severo-kurilsk,RU,1528905387,50.68,156.12,92,100,38.02,16.26
140,arraial do cabo,BR,1528905600,-22.97,-42.02,0,65,80.6,4.7
141,torbay,CA,1528903560,47.66,-52.73,90,93,50,19.46
142,ahipara,NZ,1528905388,-35.17,173.16,88,91,56.65,9.66
143,bandarbeyla,SO,1528905389,9.49,50.81,0,79,79.15,32.93
144,vuktyl,RU,1528905389,63.86,57.31,92,96,52.6,7.43
145,caravelas,BR,1528905390,-17.73,-39.27,0,98,77.62,10.45
146,waipawa,NZ,1528905390,-39.94,176.59,92,94,50.89,9.44
147,khomutovo,RU,1528905390,52.85,37.45,0,65,72.31,5.97
148,acajutla,SV,1528901400,13.59,-89.83,40,79,84.2,1.12
149,buritis,BR,1528905391,-15.62,-46.42,0,53,83.74,6.87
150,meulaboh,ID,1528905392,4.14,96.13,48,100,82.03,3.4
151,vaini,IN,1528905392,15.34,74.49,100,98,70.42,4.29
152,teya,MX,1528901400,21.05,-89.07,75,66,86,13.87
153,bambous virieux,MU,1528902000,-20.34,57.76,75,69,75.2,14.99
154,zaragoza,ES,1528903800,41.65,-0.88,20,49,77,28.86
155,thompson,CA,1528902600,55.74,-97.86,75,76,57.2,3.36
156,kodiak,US,1528901580,39.95,-94.76,1,50,75.2,13.87
157,nsanje,MZ,1528905397,-16.92,35.26,92,84,70.33,4.18
158,the pas,CA,1528902000,53.82,-101.24,1,63,60.8,10.29
159,masalli,KR,1528902000,34.8,126.66,12,77,68,9.17
160,talnakh,RU,1528905398,69.49,88.39,20,100,42.79,3.18
161,ilulissat,GL,1528901400,69.22,-51.1,90,97,32,4.7
162,vallenar,CL,1528905399,-28.58,-70.76,0,56,54.4,1.28
163,cap-aux-meules,CA,1528902000,47.38,-61.86,40,62,51.8,20.8
164,san quintin,PH,1528902000,17.54,120.52,90,100,77,13.87
165,victoria,BN,1528902000,5.28,115.24,75,94,80.6,1.12
166,okhotsk,RU,1528905400,59.36,143.24,12,100,38.02,2.17
167,bonavista,CA,1528905401,48.65,-53.11,92,82,46.57,22.97
168,manokwari,ID,1528905401,-0.87,134.08,80,100,78.07,8.1
169,lebu,ET,1528905404,8.96,38.73,92,100,55.3,0.72
170,qostanay,KZ,1528902000,53.17,63.58,75,54,59,6.71
171,victor harbor,AU,1528902000,-35.55,138.62,75,82,55.4,17.22
172,kamenka,RU,1528905405,53.19,44.05,12,98,61.6,9.44
173,cherskiy,RU,1528905405,68.75,161.3,8,48,55.21,3.18
174,kimbe,PG,1528905405,-5.56,150.15,92,100,78.43,6.64
175,guba,PH,1528902000,10.43,123.89,75,74,84.2,8.05
176,inuvik,CA,1528902000,68.36,-133.71,40,53,51.8,3.36
177,jiazi,CN,1528902000,19.61,110.49,20,78,82.4,4.47
178,namatanai,PG,1528905407,-3.66,152.44,76,100,78.07,11.68
179,port elizabeth,US,1528903500,39.31,-74.98,90,83,75.2,9.17
180,chilca,PE,1528903800,-13.22,-72.34,75,47,55.4,3.36
181,tual,ID,1528905408,-5.67,132.75,68,100,79.78,12.12
182,puerto colombia,CO,1528902000,10.99,-74.96,40,74,87.8,6.93
183,muzhi,RU,1528905409,65.4,64.7,0,63,55.57,10.67
184,tabuk,PH,1528905413,17.41,121.44,92,86,72.4,1.83
185,palauig,PH,1528905413,15.44,119.9,92,100,74.11,10.67
186,komsomolskiy,RU,1528905413,67.55,63.78,0,84,37.39,9.22
187,atuona,PF,1528905298,-9.8,-139.03,44,100,79.6,12.91
188,sinnamary,GF,1528905414,5.38,-52.96,92,100,75.19,3.4
189,kavieng,PG,1528905414,-2.57,150.8,92,100,78.97,5.41
190,moron,VE,1528905415,10.49,-68.2,0,70,81.67,3.06
191,fortuna,ES,1528903800,38.18,-1.13,20,64,86,12.75
192,pangnirtung,CA,1528902000,66.15,-65.72,90,93,35.6,4.7
193,paamiut,GL,1528905416,61.99,-49.67,68,100,35.32,12.46
194,juegang,CN,1528905417,32.31,121.18,36,76,75.28,16.6
195,kiama,AU,1528905418,-34.67,150.86,0,86,50.44,6.87
196,yamada,JP,1528902000,36.58,137.08,20,72,60.8,14.99
197,russell,AR,1528902000,-33.01,-68.8,0,48,42.8,3.36
198,port hawkesbury,CA,1528902000,45.62,-61.36,1,63,64.4,16.11
199,naze,NG,1528902000,5.43,7.07,75,62,89.6,9.17
200,namibe,AO,1528905419,-15.19,12.15,0,89,74.02,17.49
201,lodja,CD,1528905419,-3.52,23.6,0,20,94.36,4.97
202,basco,US,1528904100,40.33,-91.2,1,44,77,13.87
203,suleja,NG,1528905420,9.18,7.18,20,74,87.34,2.95
204,tazovskiy,RU,1528905420,67.47,78.7,12,60,67.72,14.81
205,waterloo,CA,1528902000,43.47,-80.52,75,78,75.2,12.75
206,kruisfontein,ZA,1528905421,-34,24.73,0,47,75.82,8.43
207,hithadhoo,MV,1528905421,-0.6,73.08,12,100,83.65,6.42
208,aqtobe,KZ,1528902000,50.28,57.21,0,24,71.6,6.71
209,trinidad,UY,1528902000,-33.52,-56.9,75,76,50,17.22
210,jasper,US,1528904100,33.83,-87.28,12,83,78.8,5.19
211,tempio pausania,IT,1528903800,40.9,9.1,40,77,69.8,11.41
212,kununurra,AU,1528902000,-15.77,128.74,75,73,73.4,5.82
213,zhob,PK,1528905423,31.34,69.45,0,10,80.95,5.64
214,los llanos de aridane,ES,1528903800,28.66,-17.92,20,60,73.4,12.75
215,nohar,IN,1528905423,29.18,74.77,0,22,98.5,9.55
216,sainte-suzanne,CH,1528903800,47.51,6.77,76,48,66.2,10.29
217,crotone,IT,1528901400,39.09,17.12,0,42,82.4,23.04
218,gambela,ET,1528905424,8.25,34.59,92,94,68.62,2.95
219,kavaratti,IN,1528905424,10.57,72.64,80,100,81.67,22.64
220,ust-ilimsk,RU,1528905425,57.96,102.73,12,87,60.61,1.95
221,leo,BF,1528905429,11.1,-2.1,0,66,94.72,4.63
222,totolapan,MX,1528902840,18.99,-98.92,75,77,59,5.82
223,funtua,NG,1528905429,11.52,7.31,44,50,90.67,2.17
224,salalah,OM,1528901400,17.01,54.1,75,89,84.2,10.29
225,burnie,AU,1528905430,-41.05,145.91,92,100,51.88,21.07
226,boulder city,US,1528902900,35.98,-114.83,1,11,89.6,3.51
227,massakory,TD,1528905431,13,15.73,0,46,100.21,6.98
228,arlit,NE,1528905432,18.74,7.39,0,14,110.92,4.74
229,zhigansk,RU,1528905432,66.77,123.37,0,56,56.83,4.97
230,florianopolis,BR,1528902000,-27.6,-48.55,40,64,69.8,3.36
231,lavrentiya,RU,1528905432,65.58,-170.99,0,76,35.95,8.43
232,bluefield,US,1528902900,37.27,-81.22,90,78,78.8,11.41
233,te anau,NZ,1528905433,-45.41,167.72,8,80,27.22,2.84
234,marawi,PH,1528905433,8,124.29,44,99,66.73,2.28
235,amapa,HN,1528905600,15.09,-87.97,75,83,84.2,4.7
236,palmer,AU,1528902000,-34.85,139.16,75,82,55.4,17.22
237,cidreira,BR,1528905434,-30.17,-50.22,0,81,51.97,26.33
238,saint-pierre,FR,1528903800,48.95,4.24,90,67,66.2,12.75
239,aykhal,RU,1528905439,65.95,111.51,32,57,62.23,4.74
240,ondangwa,NA,1528902000,-17.91,15.98,0,13,84.2,2.24
241,pitimbu,BR,1528902000,-7.47,-34.81,40,54,84.2,17.22
242,grandview,US,1528905300,38.89,-94.53,1,65,80.6,10.29
243,williston,US,1528902900,48.15,-103.62,1,36,71.6,8.05
244,maniitsoq,GL,1528905442,65.42,-52.9,68,97,36.31,5.53
245,krasnyy yar,RU,1528905443,50.7,44.73,92,86,64.03,8.21
246,nouadhibou,MR,1528902000,20.93,-17.03,20,47,80.6,14.99
247,buritama,BR,1528905444,-21.07,-50.14,68,95,75.1,6.31
248,longyearbyen,NO,1528901400,78.22,15.63,90,86,33.8,18.34
249,lasa,CY,1528903800,34.92,32.53,20,74,80.6,6.93
250,college,US,1528901880,64.86,-147.8,1,75,42.8,3.36
251,ust-tsilma,RU,1528905445,65.44,52.15,12,84,54.4,3.62
252,saint-augustin,FR,1528903800,44.83,-0.61,64,82,69.8,12.75
253,berlevag,NO,1528901400,70.86,29.09,75,70,42.8,13.87
254,havoysund,NO,1528903200,71,24.66,75,87,42.8,13.87
255,kamina,CD,1528905450,-8.74,25,0,23,85,7.99
256,yaan,NG,1528905450,7.38,8.57,48,100,85.9,7.09
257,makakilo city,US,1528901820,21.35,-158.09,1,83,77,4.7
258,along,IN,1528905450,28.17,94.8,100,98,68.89,1.5
259,vanimo,PG,1528905451,-2.67,141.3,88,100,83.65,4.29
260,hovd,NO,1528903200,63.83,10.7,75,48,62.6,4.7
261,la maddalena,IT,1528903200,39.15,9.02,40,57,75.2,17.22
262,grand gaube,MU,1528902000,-20.01,57.66,75,69,75.2,14.99
263,novoagansk,RU,1528905453,61.94,76.66,20,37,67.81,8.43
264,kearney,US,1528902900,40.7,-99.08,90,64,71.6,14.99
